@relation trainSet

@attribute coverage numeric
@attribute dependent_and_referenced numeric
@attribute distinct_dependent_values numeric
@attribute multi_dependent numeric
@attribute multi_referenced numeric
@attribute foreignKey {FOREIGN_KEY,UNKNOWN,NO_FOREIGN_KEY}

@data
1.8352177873922216E-6,0,35,25,206,NO_FOREIGN_KEY
0.5,0,1,164,71,NO_FOREIGN_KEY
0.03296703296703297,94,9,38,152,NO_FOREIGN_KEY
0.006289308176100629,0,1,163,146,NO_FOREIGN_KEY
5.0,52,5,32,117,NO_FOREIGN_KEY
6.058770069675856E-5,0,1,143,55,NO_FOREIGN_KEY
0.07142857142857142,0,1,157,56,NO_FOREIGN_KEY
0.07142857142857142,0,1,165,56,NO_FOREIGN_KEY
1.8690191387559808E-5,0,1,160,100,NO_FOREIGN_KEY
0.3333333333333333,0,1,163,52,NO_FOREIGN_KEY
0.25,0,1,166,59,NO_FOREIGN_KEY
1.086330700791935E-5,0,1,160,57,NO_FOREIGN_KEY
6.461200491051237E-5,0,1,168,59,NO_FOREIGN_KEY
0.14285714285714285,0,1,156,63,NO_FOREIGN_KEY
2.0832352476737553E-7,0,1,160,314,NO_FOREIGN_KEY
0.002013007122948281,0,13,37,131,NO_FOREIGN_KEY
0.3333333333333333,0,1,166,69,NO_FOREIGN_KEY
6.75995403231258E-5,75,2,38,199,NO_FOREIGN_KEY
1.1372682815876265E-4,71,1,165,93,NO_FOREIGN_KEY
4.4164587250683614E-5,124,212,6,314,NO_FOREIGN_KEY
3.0392365437802025E-5,0,2,62,215,NO_FOREIGN_KEY
2.3380874444704232E-4,0,1,167,75,NO_FOREIGN_KEY
0.5,0,1,168,71,NO_FOREIGN_KEY
1.0,0,1,163,61,NO_FOREIGN_KEY
9.936406995230525E-5,0,1,163,146,NO_FOREIGN_KEY
1.0,0,1,176,63,NO_FOREIGN_KEY
1.87167777195478E-5,0,1,166,64,NO_FOREIGN_KEY
0.5,0,1,165,70,NO_FOREIGN_KEY
0.5,65,1,70,132,NO_FOREIGN_KEY
0.07142857142857142,0,1,166,61,NO_FOREIGN_KEY
2.2771003404265007E-6,60,1,25,81,NO_FOREIGN_KEY
1.1295223250087538E-5,0,1,159,80,NO_FOREIGN_KEY
0.5,0,1,149,58,NO_FOREIGN_KEY
0.5,0,1,162,132,NO_FOREIGN_KEY
0.5,0,1,178,67,NO_FOREIGN_KEY
1.5755748090797225E-6,0,1,154,59,NO_FOREIGN_KEY
0.1111111111111111,0,1,168,92,NO_FOREIGN_KEY
0.5,0,1,165,59,NO_FOREIGN_KEY
8.734310993877248E-6,0,1,178,230,NO_FOREIGN_KEY
0.0012787723785166241,0,1,170,128,NO_FOREIGN_KEY
2.3380874444704232E-4,0,1,154,75,NO_FOREIGN_KEY
0.002163721601153985,0,12,30,183,NO_FOREIGN_KEY
0.0022988505747126436,0,1,164,90,NO_FOREIGN_KEY
1.0867202782003912E-4,0,1,178,132,NO_FOREIGN_KEY
2.0832352476737553E-7,0,1,161,314,NO_FOREIGN_KEY
0.8,0,12,34,118,NO_FOREIGN_KEY
7.222641536689213E-7,0,1,164,169,NO_FOREIGN_KEY
8.016160579728733E-6,0,1,162,73,NO_FOREIGN_KEY
0.2,0,2,62,105,NO_FOREIGN_KEY
0.125,0,1,167,68,NO_FOREIGN_KEY
0.0625,0,1,173,68,NO_FOREIGN_KEY
1.8885741265344664E-4,0,1,167,94,NO_FOREIGN_KEY
1.072655421066416E-5,0,12,37,140,NO_FOREIGN_KEY
3.532969672988327E-6,64,1,146,53,NO_FOREIGN_KEY
0.6666666666666666,0,2,63,89,NO_FOREIGN_KEY
3.572704537334762E-4,0,1,164,155,NO_FOREIGN_KEY
5.2434793925492044E-8,0,1,150,206,NO_FOREIGN_KEY
7.222641536689213E-7,0,1,147,206,NO_FOREIGN_KEY
6.353240152477764E-4,0,1,173,106,NO_FOREIGN_KEY
1.0,0,1,164,86,NO_FOREIGN_KEY
0.0038363171355498722,75,3,55,128,NO_FOREIGN_KEY
1.3517166801838335E-4,0,1,158,89,NO_FOREIGN_KEY
